Column Name,Description
CaseID,Case ID 
CASEID_NEW,Longitudnal CaseID 
qflag,DOV: Qualification Flag 
weight1,Post-Stratification weight for Genpop (n=2994) 
weight1_freqwt,"wgt to CPS adult pop, scaled down by2994/3110=round(weight1*2436295> 95/3110) "
weight2,Post-Stratification weight for LGB (n=551) 
weight1a,Post-Stratification weight for total consented Genpop respondents (n=3110) 
weight1a_freqwt,"weighted up to CPS adult population, =round(weight1a*243629595/3110) "
weight_combo,"weight that combines all LGB subjects weighted down, with gen pop"
duration,Interview duration in minutes 
speed_flag,Respondents who completed survey in under 2 minutes 
consent,Do you consent to participate in this study: 
xlgb,LGB Sample 
S1,Are you married? 
S2,"Do you have a boyfriend, a girlfriend, a sexual partner ora romantic partner? "
S3,"Have you EVER had a boyfriend, a girlfriend, or a sexual or romantic partner? "
DOV_Branch,Data-only variable: DOV_Branch 
Q3_Refused,"[Refused] What is your [spouse, i.e. husband or wifes; boyfriend/girlfriends; la "
Q4,Next are questions about [Partner name] and the family [Partner name] grew up wi 
Q5,Is [Partner name] the same sex as you? 
Q6A,AIs [Partner name] Latino orHispanic? 
Q6B,What is [Partner name]™s race? 
Q9,How old is [Partner name]? 
Q10,What is the highest level of schooling [Partner name] hascompleted? 
Q11,What is the highest level of schooling [Partner name]™s MOTHER has completed? If 
Q12,"Generally speaking, does [Partner name] think of[herself/themself] as: "
Q14,"* Next are a few questions about you, and the family you grew up with. What is the "
Q15A7,"When you actually met [Partner name] in person for the first time, did you meet "
Q16,How many of your relatives do you see in person at least once a month? Include p 
Q16_Refused,[Refused] How many of your relatives do you see in person at least once a month? 
Q17A,"AIncluding your current marriage,how many times have you been married? "
Q17B,How many times have you been married? 
Q17C,"What Gender are you most attracted to, sexually? "
Q17D,"What Gender are you most attracted to, sexually? "
Q19,Are you currently living with [Partner name]? 
Q20,Have you ever lived together with [Partner name]? 
Q21A_Year,A_YEA[Year] In what Year and Month didyou first meet [Partner_Name]? 
Q21A_Month,[Month] In what Year and Month did you first meet [Partner_Name]? 
Q21B_Year,[Year] In what year and month did your romantic relationship with [Partner_Name] 
Q21B_Month,[Month] In what year and month did your romantic relationship with [Partner_Name 
Q21C_Year,[Year] In what year and month did                                                 you first live together with                                                 [Partner_Name]? 
Q21C_Month,[Month] In what year and month did you first live together with [Partner_Name]? 
Q21D_Year,[Year] In what Year and Month did you marry [Partner_Name]? 
Q21D_Month,[Month] In what Year and Month did you marry [Partner_Name]? 
w6_identity,Do you think of yourself as 
w6_outness,"Thinking about the important people in your life, how many are aware that you ar "
w6_outness_timing,_A* How old were you when a few of the important people in your life first became aw 
Q23,"Between you and [Partner name], who earned more income in 2016: "
Q24_Refused,_REFU * [Refused] Please write the story of how you and [Partner name] first met and got 
Q25,Did you and [Partner name] attend the same high school? 
Q26,Did you and [Partner name] attend                                                 the same college or university? Q27             
Q28,Did your parents know [Partner name]™s parents before you met [Partner name]? 
w6_friend_connect_1,[I knew one (or more) of [Partner name]'s friends before meeting [Partner name]. 
w6_friend_connect_2,[[Partner name] knew one (or more) of my friends before Imet [Partner name].] C w6_friend_connect_3 [One (or more) of my friends knew one (or more) of [Partner name]'s friends befo 
w6_friend_connect_4,[None of the above] Choose ALL that apply: 
w6_friend_connect_Refused,[Refused] Choose ALL that apply: 
Q32,Did you use an Internet service to meet [Partner name]? 
Q34,"In general, how would you                                                 describe the quality of your                                                 relationship with [Partne "
Q35_Refused,"[Refused] In your own words, explain why your relationship with [Partner name] i "
w6_sex_frequency,"During the last 12 months, about how often did you have sex with [Partner name]? "
w6_otherdate,"In the past year, have you ever met someone for dating, for romance, or for sex "
w6_how_many,"_HOW_M * How many Different people besides[Partner name] have you met for dating, or rom "
w6_how_meet_Refused,"[Refused] How did you meet this person (for dating, romance, or sex) you met las "
w6_otherdate_app,In the Past Year have you ever used an app on your phone (such as Tinder or Grin 
w6_how_many_app,"Of the [Selected response from w6_how_many] you met in thepast year, how many d Past_Partner_Q1 name]? "
w6_relationship_end_nonmar,"How did your relationship with [Partner name] end? w6_breakup_nonmar Between you and [Partner name], who wanted more to break up? "
w6_relationship_end_mar,How did your marriage to [Partner name] end? 
w6_who_breakup,"_WHO_BBetween you and [Partner name],who wanted the [divorce/separation] more? "
Q5_2,[Is/Was] [Partner name] the same sex as you? 
Q6A_2,[Is/Was] [Partner name] Latino or Hispanic? 
Q9B_2,What year was [Partner name] born? 
Q10_2,What is the highest level of schooling [Partner name] completed? 
Q11_2,What is the highest level of                                                 schooling [Partner name]'s                                                 MOTHER completed? If yo 
Q12_2,"Generally speaking, did [Partner name] think of [himself/herself/themself] as: "
Q14_2,What is the highest level of schooling YOUR MOTHER has completed? 
Q15A7_2_1,"When you actually met [Partner name] in person for the first time, did you meet "
Q16_2,How many of your relatives do you see in person at least once amonth? Include p 
Q16_2_Codes,_CO * [Refused] How many of your relatives do you see in person at least once a month? 
Q17B_2,How many times have you been married? 
Q17C_2,"What Gender are you most attracted to, sexually? "
Q17D_2,"What Gender are you most attracted to, sexually? "
Q20_2,Have you ever lived together with [Partner name]? 
Q21A_2_Year,_Y[Year] In what Year and Month didyou first meet [Partner_Name]? 
Q21A_2_Month,[Month] In what Year and Month did you first meet [Partner_Name]? 
Q21B_2_Year,[Year] In what year and month did your romantic relationship with [Partner_Name] 
Q21B_2_Month,[Month] In what year and month did your romantic relationship with [Partner_Name 
Q21C_2_Year,[Year] In what year and month did you first live together with[Partner_Name]? 
Q21C_2_Month,_M[Month] In what year and month did you first live together with [Partner_Name]? 
Q21D_2_Year,[Year] In what Year and Month did you marry [Partner_Name]? 
Q21D_2_Month,_M[Month] In what Year and Month did you marry [Partner_Name]? 
Q21E_2_Year,[Year] In what Year and Month did you break up with [Partner_Name]?/In what Yea 
Q21E_2_Month,[Month] In what Year and Month                                                 did you break up with                                                 [Partner_Name]?/In what Ye 
Q21F_2_start_range,for programming purpose 
Q21F_2_Year,[Year] In what Year and Month did [Partner_Name] pass away? 
